2022-06-20 23:30:53.405104;20554;1120.83;215.49;34.99;0.092934
2022-06-20 23:44:52.031491;20487;1115.62;214.92;34.72;0.092557
2022-06-20 23:57:12.762045;20393;1106.0;214.08;34.4;0.092158
2022-06-21 00:06:51.912085;20389;1103.28;214.1;34.46;0.091956
2022-06-21 00:09:09.327698;20378;1099.56;213.93;34.34;0.091854
2022-06-21 00:10:14.257664;20357;1099.56;213.8;34.3;0.091712
2022-06-21 00:14:10.352064;20345;1098.22;213.67;34.29;0.091682
2022-06-21 00:16:46.827660;20372;1099.57;213.91;34.29;0.09182
2022-06-21 00:16:53.278870;20372;1099.3;213.91;34.29;0.09182
2022-06-21 00:17:33.569578;20372;1099.3;213.91;34.29;0.09182
2022-06-21 00:19:04.223254;20365;1098.18;213.91;34.27;0.091731
2022-06-21 00:19:27.989343;20365;1098.18;213.91;34.27;0.091731
2022-06-21 00:19:37.167490;20365;1096.49;213.91;34.27;0.091731
2022-06-21 00:22:06.931661;20348;1095.45;213.65;34.04;0.09137
2022-06-21 00:23:16.194511;20341;1095.45;213.7;34.03;0.09137
2022-06-21 00:23:20.981938;20341;1095.45;213.7;34.03;0.09137
2022-06-21 00:28:08.990998;20315;1095.38;213.39;33.97;0.091403
2022-06-21 00:37:09.637130;20364;1098.04;214.22;34.24;0.091777
2022-06-21 00:40:15.721461;20376;1097.37;214.21;34.27;0.091679
2022-06-21 00:40:18.755080;20376;1097.37;214.21;34.27;0.091679
2022-06-21 00:42:31.465655;20374;1097.2;214.1;34.28;0.091756
2022-06-21 00:51:05.848754;20477;1105.73;215.4;34.72;0.09233
2022-06-21 00:51:50.472600;20477;1105.73;215.4;34.74;0.09233
2022-06-21 01:16:51.605537;20435;1106.44;215.12;34.66;0.09224
2022-06-21 01:16:53.648534;20435;1106.44;215.12;34.66;0.09224
2022-06-21 13:02:37.650282;21259;1159.79;222.53;37.83;0.097616
2022-06-21 13:02:55.292576;21259;1159.79;222.53;37.83;0.097754
2022-06-21 13:39:34.317826;21140;1151.46;221.5;37.46;0.096946
2022-06-21 14:15:22.307292;20898;1140.43;219.35;37.11;0.095691
2022-06-21 14:15:34.789497;20898;1140.43;219.35;37.11;0.095691
2022-06-21 14:15:37.066493;20898;1140.43;219.35;37.11;0.095691
2022-06-21 14:15:38.838493;20898;1140.43;219.35;37.11;0.095691
2022-06-21 14:23:42.457920;21007;1145.04;220.21;37.38;0.09628
2022-06-21 14:23:45.302772;21007;1145.04;220.21;37.38;0.09628
2022-06-21 14:24:01.860388;21007;1145.04;220.21;37.45;0.09628
2022-06-21 14:29:07.024416;20975;1142.97;220.45;37.18;0.095933
2022-06-21 14:35:06.580116;20997;1143.56;220.64;37.17;0.095985
2022-06-21 14:46:56.256575;21031;1143.56;220.58;37.27;0.096201
2022-06-21 17:33:38.856027;21526;1176.93;226.1;38.33;0.098398
2022-06-21 17:38:58.195404;21515;1177.12;226.15;38.38;0.098358
2022-06-21 17:55:46.889039;21411;1170.54;225.45;38.02;0.098197
2022-06-21 17:56:57.753656;21411;1169.6;225.39;38.02;0.098197
2022-06-21 17:58:05.625916;21404;1169.6;225.39;38.02;0.09815
2022-06-21 17:58:17.805370;21404;1169.6;225.39;38.02;0.09815
2022-06-21 17:59:38.324707;21414;1169.66;225.36;38.0;0.098159
2022-06-21 18:00:13.706127;21414;1169.66;225.31;38.01;0.098159
2022-06-21 18:10:50.409608;21374;1166.42;225.31;37.79;0.098076
2022-06-21 18:29:03.475603;21427;1167.83;226.23;38.1;0.098328
2022-06-21 18:57:49.263451;21424;1169.23;226.08;38.21;0.098551
2022-06-21 19:20:24.076264;21386;1166.6;225.46;37.98;0.098297
2022-06-21 19:44:02.787709;21241;1160.15;224.65;37.59;0.097647
2022-06-21 21:45:48.609243;21186;1147.21;223.75;37.66;0.097721
2022-06-21 23:18:42.885577;20931;1127.74;220.77;36.48;0.095816
2022-06-22 10:22:25.317118;20184;1078.25;212.52;34.08;0.092034
2022-06-22 11:35:26.237540;20292;1082.68;213.92;34.56;0.093237
2022-06-22 13:20:52.084681;20504;1095.14;215.71;35.6;0.093729
2022-06-22 13:23:05.947146;20483;1094.81;215.76;35.61;0.093626
2022-06-22 17:44:52.690225;20482;1099.47;217.88;35.48;0.093926
2022-06-22 19:43:50.993298;20221;1077.67;216.54;35.09;0.093522
2022-06-22 21:54:25.832450;19979.37;1065.63;215.19;34.07;0.0923
2022-06-22 23:44:38.804127;19895.5;1049.38;214.32;34.33;0.09206
2022-06-23 00:15:00.249202;20023;1060.78;215.79;34.97;0.093467
2022-06-23 00:47:36.286369;20006;1060.66;215.34;34.83;0.092935
2022-06-23 01:14:39.792820;20134;1062.89;216.25;34.91;0.093625
2022-06-23 07:24:51.524946;20330;1085.5;220.71;35.7;0.095717
2022-06-26 18:41:46.966311;21373;1232.36;239.81;40.84;0.104186
2022-06-26 18:47:55.029810;21409;1231.76;240.28;40.84;0.103845
2022-06-26 18:48:13.579518;21409;1231.88;240.28;40.84;0.103845
2022-06-26 18:48:33.291713;21409;1231.88;240.28;40.84;0.103945
2022-06-26 19:24:06.631338;21323;1224.41;239.12;40.46;0.102942
2022-06-26 19:35:51.200703;21239;1219.47;237.28;40.09;0.101686
2022-06-26 19:40:26.779604;21194;1216.91;236.81;40.03;0.101693
2022-06-26 19:45:45.594583;21207;1217.81;237.24;40.08;0.101597
2022-06-26 20:19:27.754184;21232;1219.99;237.43;40.06;0.101403
2022-06-26 20:58:00.434300;21230;1220.4;237.34;40.17;0.1013
